Title,Sub Title,Price,Discount Price,Shipping Price,Shipping From,Url
Apple MacBook Pro 13 | MacOS Monterey 2021 | 16GB MAX RAM | 1TB SSD | WARRANTY,Pre-Owned,$568.41,10% off,+$99.99 , United States,https://www.ebay.com/itm/154931085035?hash=item24129cbeeb:g:dycAAOSwf5tiSxdV&amdata=enc%3AAQAHAAAA4EyKOuysNqjorVYNiHYrnSJFieeeOHMQKBlaTFBfmEZ2zCFGjPN7KOroZqfU%2FhXRSThK92tk9heJri1v3PfpiX8cMFh%2B%2FNW7DJ00uEgCu0mD%2Blhmmubr7Fkv7%2BV7HJpZOF08XxGUSrGQMsOrj6SjIEiDra%2FZS%2F9BuiPs7zjp9%2FlI5h87FKD02fHT3r4O%2F0MKqWrp9p%2Fh0yJVFkxe4kuB1CkOAiQLtwtzcnB8F%2FP8ymkfhHLLPIc1Sv87DxjTLLOUOsEyNMg%2Fqe6FJlOGC89WLaNVA5Qdbhys2njhG0k043VK%7Ctkp%3ABFBM8sTdkp9g
"Apple MacBook Pro 15"" 2.4GHz Intel Quad-Core i7 8GB RAM 256GB SSD (Late- 2011)",Pre-Owned,$285.00,,+$277.19 , United States,https://www.ebay.com/itm/334340517451?hash=item4dd83f6e4b:g:u8cAAOSw-hFiFb8N
"New ListingMacbook Air 2018 (Retina, 13-inch) Intel i5 1.6GHz - 16GB RAM 256GB SSD",Pre-Owned,$449.99,,+$256.70 , United States,https://www.ebay.com/itm/155008884564?hash=item24173fdf54:g:LCsAAOSwCeNijYLK
macbook pro 13 inch mid 2009,Pre-Owned,$65.00,,+$74.00 , United States,https://www.ebay.com/itm/125326752622?hash=item1d2e0e7b6e:g:XFsAAOSwKfViiS7V
"Apple MacBook Pro 13"" 2.5GHz Intel Core i5 16GB RAM 1TB HDD+128GB SSD (Mid-2012)",Pre-Owned,$299.00,,+$260.06 , United States,https://www.ebay.com/itm/334393174063?hash=item4ddb62e82f:g:IewAAOSw7R5iTLD4
"Apple MacBook Pro 16” - M1 Max 10-core CPU 32-core GPU 32gb RAM 2TB SSD NEW """,Brand New,"$2,950.00",,+$75.00 , United States,https://www.ebay.com/itm/325200246604?hash=item4bb771f74c:g:kvgAAOSw6F9iebnb
New ListingApple MacBook Pro 15 Inch 2.2 GHz Core i7 500GB SSD 16GB RAM Mid 2014 Clean,Pre-Owned,$359.99,,+$36.00 , United States,https://www.ebay.com/itm/363849832386?hash=item54b723d7c2:g:OgMAAOSwoWFijR-C
"Apple MacBook Pro 13"" (2019, 256GB SSD, 8GB, Touch Bar) - Immaculate!",Pre-Owned,$700.00,,+$58.35 , United States,https://www.ebay.com/itm/374085491497?epid=4038042762&hash=item57193b9b29:g:RXwAAOSws7did-YF
"Apple MacBook Air 13.3"" 1.6GHz i5/8GB/128G - SPACE GRAY - MVFH2LL/A",Pre-Owned,$413.09,,+$49.00 , United States,https://www.ebay.com/itm/403396419293?epid=18032820715&hash=item5dec4cdedd:g:Xh4AAOSwaI9h1z9f
"Apple MacBook Pro 2017 Laptop 13 inch | 256GB SSD, 8GB, i5 -2.3GHz | Space Gray",Pre-Owned,$550.00,,+$35.00 , United States,https://www.ebay.com/itm/384790419411?epid=238296338&hash=item59974bd7d3:g:wAkAAOSwhn5iS5rL
